245,"FAB SUPPLIES cc",T-FAB10
246,"FIELD AUTO ELECTRICAL (PTY) LTD",T-FAE10
247,"FLEX A HOSE (Pty) Ltd",T-FAH10
248,FANTECH,T-FAN10
249,"UNIVERSAL RECYCLING FERROUS",T-FER10
250,"THE FORKLIFT FORK COMPANY",T-FFC10
251,"FAST FLAME PROFILING cc",T-FFP20
252,"FILREC (PTY) LTD",T-FIL10
253,"FILTAIRE S.A. CC",T-FIL40
254,"FILT-O-FLEX (PTY) LTD",T-FIL50
255,"8am Workforce Management",T-FIN10
256,"FISHERSHILL PRINTERS CC",T-FIS10
257,"F J NTLELE",T-FJN10
258,"FLUXMANS ATTORNEYS",T-FLU20
259,"FORKLIFT & MINING SPARES",T-FMS10
260,"FOGEL PRODUCTS CC",T-FOG10
261,"FORCE FUEL",T-FOR20
262,"FORBTECH (PTY) LTD INNOVATIONS",T-FOR30
263,"FORKLIFT PARTS WORLD (PTY) LTD",T-FOR40
264,"G FOX & CO. (PTY) LTD",T-FOX10
265,"FLUID POWER GROUP HOLDINGS (PTY) LTD",T-FPC10
266,"FREIGHT EXCELLENCE (PTY) LTD",T-FRE20
267,"FRM TOILET PAPER DISTRIBUTORS",T-FRM10
268,"FALKEN RISK MANAGEMENT & SECURITY SOLUTIONS",T-FRM20
269,"FROMM SYSTEMS AFRICA (PTY) LTD",T-FRO10
270,"FINES SA PTY LTD",T-FSA10
271,"FSF CIVILS & CONSTRUCTION CC",T-FSF10
272,"4 TECH T/A Fb fourtechnical (PTY) LTD",T-FTS10
273,"FILTRATION & TRANSMISSION SERVICES (PTY",T-FTS20
274,"FUCHS LUBRICANTS (SOUTH AFRICA) (PTY) LTD",T-FUC10
275,"FULRACE ENGINEERING (PTY) LTD",T-FUL10
276,"FREEWAY TOYOTA",T-FWT10
277,"GROUP 4 FALCK PTY LTD",T-G4F10
278,"G4 WELDING PRODUCTS C.C.",T-G4W10
279,"GALAXY TRADING",T-GAL10
280,"GARAGE EQUIPMENT SERVICE (PTY) LTD",T-GAR20
281,"GAS WELD TECHNOLOGIES",T-GAS10
282,"GOLD CIRCLE METALS CC",T-GCM10
283,"GENESIS HYDRAULICS (PTY) LTD",T-GEN30
284,"GENERAL STEEL ROLLING WORKS (PTY) LTD",T-GEN40
285,"GENSTAR LIGHTING (PTY) LTD",T-GEN50
286,"GENESIS STEEL (PTY) LTD",T-GEN60
287,"GATEMILE TRADING PTY LTD T/A GEARS FOR AFRICA",T-GFA10
288,"GLOBAL GROUP PRINTING",T-GGP10
289,"GILBERTS MINING & INDUSTRIAL CC",T-GIL10
290,"GKD BUISMET (PTY) LTD",T-GKD10
291,"AUCTION - GLENCORE BRITS",T-GLE20
292,"GLOBE HYDRAULIC SEAL SUPPLIES CC",T-GLO10
293,"GLOBAL TELEMATICS S.A. (PTY)",T-GLO40
294,"GONDWANA ENVIRONMENTAL SOLUTIONS",T-GON10
295,"GASPRO TECHNOLOGIES PTY LTD",T-GPT10
296,"GRANULATOR SPECIALIST CC",T-GRA10
297,"GREASE TRAP GUZZLERS",T-GRE10
298,"GROUP ELECTRICAL (PTY) LTD",T-GRO20
299,"GREEN'S RADIATOR",T-GRS10
300,"THE GENSET DOCTOR (PTY) LTD",T-GSD10
301,"GOLDEN SPRING AND ENGINEERING SERVICES CC",T-GSE10
302,"GEN-SOL PTY LTD",T-GSL10
303,"HANSA MATIC ENGINEERING (PTY) LTD",T-HAN20
304,"HAP HYDRAULICS SERVICES",T-HAP10
305,"HARDROCK DRILLING (PTY) LTD",T-HAR10
306,"HAWK HIGH PRESSURE PUMPS",T-HAW20
307,"EMHEATER CLEAN IMPORTS (PTY)LTD",T-HEA10
308,"Heavyweight Group (Pty) Ltd",T-HEA20
309,"Help 24 Secure",T-HEL10
310,"HENRY BUTCHER S.A. (PTY) LTD",T-HEN10
311,"HENRY'S CAMPING & TARPAULIN",T-HEN30
312,"HIAB SA (PTY) LTD",T-HIA10
313,"HILTON LOGISTICS & DISTRIBUTION",T-HIL10
314,"HIRSCH'S",T-HIR10
315,"HI-TECH IND SERVICES",T-HIT10
316,"HOLE IN ONE TRADING (PTY) LTD",T-HOL10
317,"HIGH PRESSURE CLEANING TECHNOLOGIES",T-HPC10
318,"HYDRAULIC POWER TOOL",T-HPT10
319,"HOIST CRANE SUPPLIES & SERVICES (PTY) LTD",T-HSS10
320,"HYDRAULIC POWER TOOLS",T-HYD10
321,"HYDRAULIC TRAINING & CONSULTAN",T-HYD20
322,"HYDRAPOWER HYDRAULICS",T-HYD50
323,HYDROMOBILE,T-HYD60
324,"HYFLO SOUTHERN AFRICA (PTY) LTD",T-HYF10
325,"HYLTONS SILVER TOWING SERVICES GAUTENG",T-HYL10
326,"HYTEC SOUTH AFRICA(RF) PTY LTD",T-HYT10
327,"HYTEC FLUID TECHNOLOGY",T-HYT20
328,"HYUNDAI BOKSBURG",T-HYU10
329,"IAN WYLES AUCTIONEERS",T-IAN10
330,"THE INDUSTRIAL CLOTHING COMPANY (PTY) LTD",T-ICC10
331,"IDEAL TRADING 253 CC",T-IDT10
332,"IDWALA INDUSTRIAL MINERAL",T-IDW10
333,"IDWALA HYDAULIC SERVICES (PTY)",T-IDW20
334,"IMPTA TRUCK RENTAL (PTY) LTD",T-IMP10
335,"MOTUS TOYOTA PARKTOWN",T-IMP30
336,"INDUSTRIAL MESH SUPPLIES",T-IMS10
337,"INANI WELDING AND INDUSTRIAL SUPPLIES",T-INA10
338,"IRON BUDDYS",T-INB10
339,"INCREDIBLE CONNEXION",T-INC40
340,"INDUSTRIAL TUBE FITTING CC",T-IND40
341,"INDWA ENGINEERING & DISTRIBUTORS",T-IND70
342,"INGWE SPLICING AND MAINTENANCE CC",T-ING10
343,"INSIMBI ALLOY SUPPLIES (PTY)",T-INS20
344,"INTERCONNECT SYSTEMS PTY",T-INT10
345,"INTERNATIONAL SAFES CC",T-INT20
346,"INTERNATIONAL TIME AND ACCESS TECHNOLOGIES CC",T-INT30
347,"INTERWASTE CLEANING",T-INT40
348,"INTERWASTE ENVIRONMENTAL SOLUTIONS",T-INT50
349,"INYATI CLUTCH & FRICTION CC",T-INY20
350,"ISIBONELO ONLINE AUCTION",T-IOA10
351,"INDUSTRIA POWDER COATERS PTY (LTD)",T-IPC10
352,IronTree,T-IRO10
353,"ISENZO AFRICA SERVICES PTY LTD",T-ISE10
354,"ILLOVO SERVICE STATION CC",T-ISS10
355,"IN TIME CONSTRUCTION CC",T-ITC20
356,"INDUSTRI TOOLS & EQUIPMENT",T-ITE10
357,"JADE SAFETY CC",T-JAD10
358,"JAINGYIN JXR HYDRAULIC CO LTD",T-JAI10
359,"J.D. BOTHA & SONS",T-JDB20
360,"JDS INDUSTRIAL SUPPLIES",T-JDS10
361,"JE-BO STEEL (PTY) LTD",T-JEB10
362,"JEPPE DIESEL SERVICES",T-JEP10
363,"S.J INDUSTRIAL AND POLLUTION SERVICES",T-JFO10
364,"J G DIESEL DISCOUNTERS (PTY) LTD T/A DIESEL DISCOUNT",T-JGD10
365,"J.J. AUTOMOTIVE ENGINEERING (PTY) LTD",T-JJA10
366,"J & J FABRICATIONS",T-JJF10
367,"J & J RUBBER LINING (PTY) LTD",T-JJR10
368,"JOHN KING CHAINS SA (PTY) LTD",T-JKC10
369,"J & M DIESEL SERVICES",T-JMD10
370,"JOHNSON'S EMBROIDERY & PRINTING SOLUTIONS",T-JOH20
371,"JOZI PUMPS AND ENGINEERING CC",T-JOZ10
372,"JR's EXHAUST",T-JRE10
373,"J & S METALS CC",T-JSM10
374,"JUMALU FENCING",T-JUM10
375,"JUST ENGINE & GEARBOX",T-JUS10
376,"KAL TIRE MINING TYRE SERVICES SA (PTY) LTD",T-KAL10
377,"KAYREED BOARD & TIMBERS",T-KAY10
378,"KENBERT DIESEL DISTRIBUTORS",T-KDD10
379,"KERIZZMA STEEL ( PTY) LTD",T-KERI10
380,"KILOTON HYDRAULICS",T-KIL10
381,"K L ENGINEERING",T-KLE10
382,"KMG OFFICE SUPPLIES (PTY) LTD",T-KMG20
383,"KOREAN TRUCK PARTS",T-KOR10
384,"KOMATSU SOUTH AFRICA (PTY) LTD",T-KSA10
385,"KTR COUPLINGS SA (PTY) LTD",T-KTR10
386,"KNOX TITANIUM VAULT COMPANY (PTY) LTD",T-KTV10
387,"KWATANI (PTY) LTD",T-KWA10
388,"L.A.C. CORPORATE SUPPLIERS CC",T-LAC10
389,"LANGLAAGTE TRUCK & CAR",T-LAN10
390,"LARIAT TECHNOLOGIES (PTY) LTD",T-LAR10
391,"LARA LEVY JACOBS",T-LARA10
392,"THE LASER GROUP SANDTON CC",T-LAS10
393,L.A.SERVICES,T-LAS20
394,"LC INDUSTRIAL SERVICES & REPAIRS (PTY) LTD",T-LCI10
395,"LEDCORP (PTY) LTD",T-LED10
396,"LEJONE PROJECT & GENERAL SUPPLY",T-LEJ10
397,"LENNOX VULCANIZING CC",T-LEN10
398,"USABCO INDUSTRIES (PTY) LTD",T-LEO10
399,"LEADING EDUCATIONAL TRADING SERVICES",T-LET10
400,"LIDO ELECTRICAL (EAST RAND)",T-LIDO10
401,"LIEBHERR AFRICA (PTY) LTD",T-LIE10
402,"LIONEL ISAACS INSURANCE BROKERS",T-LIIB10
403,"LIL SALES (PTY) LTD",T-LIL10
404,"LIMPARTS (PTY) LTD",T-LIM10
405,LITH0TECH,T-LIT10
406,"LIQUID INTELLIGENT TECHNOLOGIES",T-LIT20
407,"LM SCRAP METALS",T-LMS10
408,"LIKE - NU MOTORGLASS",T-LNM10
409,"L O RALL (PTY) LTD",T-LOR10
410,"LSM DISTRIBUTORS",T-LSM10
411,"LAUNCH TECHNOLOGIESE SA PTY LTD",T-LTS10
412,"LUCK AND KING G&S WINDERS (Pty) LTD",T-LUK10
413,"M & H TRUCKS SERVICES AND REPAIRS",T-M&H10
414,"MACSTEEL SERVICE CENTRES SA (PTY) LTD",T-MAC20
415,"MARK  DA MATTA",T-MAD10
416,"MARTIN S AUTO ELECTRICAL",T-MAE10
417,"MAFIKA ENGINEERING",T-MAF10
418,"MAGQUIP  (PTY) LTD",T-MAG30
419,"MAIZEY'S  (PTY)  LTD",T-MAI10
420,"MAJOR 2 AUTOBODY REPAIRS (PTY) LTD",T-MAJ20
421,"MAKRO SA",T-MAK10
422,"MAN TRUCK & BUS CENTRE JOHANNESBURG",T-MAN10
423,"MANICA SOUTH AFRICA (PTY) LTD",T-MAN40
424,"MARPROZEP DIV OF COLOUCO HOLDINGS (PTY) LTD",T-MAR10
425,"TALINUM TRADING t/a INTERCITY S.A",T-MAR20
426,"MARTHINUSEN & COUTTS",T-MAR60
427,"MARTINS NUMBERPLATES",T-MAR70
428,"MARTINS LOCKSMITHS & NUMBERPLATES",T-MAR80
429,"MASSAMATIC GAUTENG (Pty)LTD",T-MAS10
430,"MERCEDES-BENZ COMMERCIAL VEHIC",T-MBCV10
431,"MCCARTHY COMMERCIAL VEHICLES",T-MCC10
432,"M.D. PINTO COMPUTER CONSULTANT",T-MDP10
433,"MR DOOR",T-MDR10
434,"MECHANI MAG (PTY) LTD",T-MEC10
435,"MEGA BAGS",T-MEG10
436,"MELCO CONVEYOR EQUIPMENT (PTY) LTD",T-MEL20
437,"MERCO INDUSTRIES (PTY) LTD",T-MER10
438,"MESHCAPE SCREEN MEDIA T/A FL SMIDTH",T-MES10
439,"M E SCREENING",T-MES20
440,"METAL CENTRE",T-MET10
441,"METAL RECYCLERS ASSOCIATION",T-MET30
442,"METAL CENTRE",T-MET40
443,"METALLOY PRODUCTS (PTY) LTD",T-MET50
444,"METALLURGICAL TESING LABS (PTY) LTD",T-MET70
445,"M&E TRAINING SPECIALIST",T-MET80
446,"METAFIX PTY LTD",T-MET90
447,"MAHINDO FILLING STATION",T-MFS10
448,"MICRON ENGINEERING (PTY) LTD",T-MIC40
449,"AUCTION - MINTEK",T-MIN20
450,"MINTEK ANALYTICAL SERVICES",T-MIN30
451,"MITTAL STEEL S.A VANDERBIJL",T-MIT10
452,"MITCHELL ADVANCED TECHNOLOGY (PTY) LTD",T-MIT20
453,"MICHAEL JAMES ORGANISATION GAUTENG PTY LTD",T-MJO10
454,"MACHINE MOVING & ENG GAUTENG",T-MME10
455,"MMH RECYCLING SYSTEM (S.A.)",T-MMH10
456,"MNR EMBROIDERY CC",T-MNR10
457,"MONITOR ENGINEERING (PTY) LTD",T-MON20
